City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,281.76,85,86,0.28,CL,1690423527
1,port-aux-francais,-49.35,70.2167,277.59,78,90,16.12,TF,1690423526
2,jackson,42.4165,-122.8345,305.08,22,0,7.2,US,1690423608
3,ushuaia,-54.8,-68.3,272.96,69,0,2.57,AR,1690423657
4,longyearbyen,78.2186,15.6401,284.06,71,75,1.03,SJ,1690423533
5,port mathurin,-19.6833,63.4167,296.78,79,51,7.81,MU,1690423657
6,st. john's,47.5649,-52.7093,292.19,85,100,8.75,CA,1690423643
7,midyat,37.4247,41.3393,300.53,18,4,2.57,TR,1690423658
8,vung tau,10.346,107.0843,300.97,83,100,7.33,VN,1690423626
9,grytviken,-54.2811,-36.5092,274.02,98,100,5.05,GS,1690423658
10,cruzeiro do sul,-29.5128,-51.9853,289.0,85,13,1.74,BR,1690423447
11,wynyard,-41.0,145.7167,285.64,76,100,3.84,AU,1690423658
12,pitimbu,-7.4706,-34.8086,297.48,87,47,4.49,BR,1690423658
13,whitehorse,60.7161,-135.0538,293.88,63,100,6.71,CA,1690423523
14,waitangi,-43.9535,-176.5597,281.38,88,81,0.45,NZ,1690423525
15,monrovia,6.3005,-10.7969,298.02,89,75,1.85,LR,1690423659
16,talnakh,69.4865,88.3972,297.71,53,81,2.72,RU,1690423549
17,dakhla,23.6848,-15.958,292.92,91,0,10.83,EH,1690423659
18,kongwa,-6.2,36.4167,287.03,79,95,1.82,TZ,1690423659
19,kalemie,-5.9475,29.1947,293.15,66,73,1.35,CD,1690423541
20,taroa,8.7058,171.2275,301.29,78,100,5.07,MH,1690423659
21,vilyuysk,63.7553,121.6247,293.94,36,100,3.15,RU,1690423660
22,recani,31.2846,-4.2688,307.43,12,24,4.5,MA,1690423660
23,kerikeri,-35.2268,173.9474,288.1,80,16,1.34,NZ,1690423660
24,yellowknife,62.456,-114.3525,297.44,33,75,4.63,CA,1690423441
25,lamu,-2.2717,40.902,296.27,83,100,5.78,KE,1690423660
26,constantia,44.1833,28.65,294.65,84,99,6.07,RO,1690423446
27,utrik,11.2278,169.8474,301.4,79,100,8.1,MH,1690423661
28,lata,40.1629,-8.3327,290.41,94,79,1.43,PT,1690423661
29,margaret river,-33.95,115.0667,286.73,68,97,5.36,AU,1690423661
30,bethel,41.3712,-73.414,298.32,78,0,3.6,US,1690423661
31,tiksi,71.6872,128.8694,280.89,71,33,2.85,RU,1690423662
32,ghadamis,30.1337,9.5007,305.13,32,0,5.09,LY,1690423662
33,edinburgh of the seven seas,-37.0676,-12.3116,283.91,52,62,10.43,SH,1690423662
34,nova sintra,14.8667,-24.7167,296.21,85,71,7.24,CV,1690423662
35,daru,-9.0763,143.2092,299.35,81,49,7.93,PG,1690423662
36,avarua,-21.2078,-159.775,297.18,64,75,3.09,CK,1690423662
37,puerto ayora,-0.7393,-90.3518,297.9,93,84,3.13,EC,1690423537
38,sooke,48.3746,-123.7276,295.14,76,100,2.64,CA,1690423663
39,punta arenas,-53.15,-70.9167,272.72,78,16,3.93,CL,1690423552
40,jiaojiang,28.6803,121.4428,298.71,92,100,2.94,CN,1690423663
41,san patricio,28.017,-97.5169,303.25,72,53,5.74,US,1690423663
42,blackmans bay,-43.0167,147.3167,285.78,71,100,2.03,AU,1690423663
43,touros,-5.1989,-35.4608,297.03,89,34,5.09,BR,1690423664
44,prince albert,53.2001,-105.7677,289.12,88,75,6.17,CA,1690423664
45,chakradharpur,22.7,85.6333,300.67,86,87,3.9,IN,1690423664
46,georgetown,5.4112,100.3354,302.11,93,20,1.03,MY,1690423516
47,tofol,5.3248,163.0078,300.91,78,100,2.57,FM,1690423665
48,keflavik,64.0049,-22.5624,283.39,87,40,6.17,IS,1690423665
49,alice springs,-23.7,133.8833,295.9,49,40,5.14,AU,1690423665
50,iqaluit,63.7506,-68.5145,275.66,87,94,1.51,CA,1690423665
51,puerto deseado,-47.7503,-65.8938,273.61,72,42,3.87,AR,1690423665
52,vorkuta,67.5,64.0,286.83,91,100,2.04,RU,1690423665
53,macusani,-14.0833,-70.4333,274.39,88,67,2.65,PE,1690423666
54,ulladulla,-35.35,150.4667,292.64,30,0,2.78,AU,1690423666
55,wailua homesteads,22.0669,-159.378,302.39,78,75,7.2,US,1690423666
56,hilo,19.7297,-155.09,301.0,81,75,4.12,US,1690423607
57,tolanaro,-25.0319,46.9987,292.07,60,85,4.66,MG,1690423666
58,adamstown,-25.066,-130.1015,292.94,63,42,6.66,PN,1690423666
59,bredasdorp,-34.5322,20.0403,281.93,91,0,1.98,ZA,1690423666
60,itoman,26.1247,127.6694,303.16,82,75,7.2,JP,1690423667
61,posadas,-27.3671,-55.8961,288.14,77,75,4.12,AR,1690423667
62,puerto natales,-51.7236,-72.4875,271.77,92,100,1.18,CL,1690423521
63,ilulissat,69.2167,-51.1,281.16,66,0,2.06,GL,1690423667
64,orhaneli,39.9033,28.9906,300.09,26,34,2.49,TR,1690423667
65,invercargill,-46.4,168.35,280.57,70,100,7.29,NZ,1690423667
66,sur,22.5667,59.5289,300.99,75,80,5.11,OM,1690423668
67,mangrol,21.1167,70.1167,300.48,85,100,7.5,IN,1690423668
68,isafjordur,66.0755,-23.124,280.08,87,99,5.26,IS,1690423668
69,vilyuchinsk,52.9306,158.4028,296.3,80,99,3.17,RU,1690423668
70,bartlesville,36.7473,-95.9808,304.32,62,0,3.09,US,1690423668
71,santa elena de uairen,4.6167,-61.1333,293.01,94,100,0.71,VE,1690423668
72,remire-montjoly,4.9167,-52.2667,298.17,94,75,0.0,GF,1690423670
73,smithers,54.7804,-127.1743,293.25,50,100,2.82,CA,1690423670
74,yeppoon,-23.1333,150.7333,296.03,61,47,7.44,AU,1690423670
75,tamanrasset,22.785,5.5228,300.1,11,0,2.57,DZ,1690423670
76,freeport,40.6576,-73.5832,300.38,79,0,6.69,US,1690423581
77,eilat,29.5581,34.9482,304.06,30,0,3.09,IL,1690423671
78,kodinsk,58.6881,99.1844,296.6,60,14,2.08,RU,1690423671
79,ola,59.5833,151.2833,289.34,98,100,4.17,RU,1690423671
80,bardai,11.65,7.2333,295.98,84,97,3.99,NG,1690423671
81,saipan,15.1355,145.701,301.54,100,40,5.66,MP,1690423671
82,vallenar,-28.5708,-70.7581,288.42,71,100,0.75,CL,1690423671
83,port moresby,-9.4431,147.1797,301.31,68,30,6.47,PG,1690423671
84,karabar,-35.3753,149.2308,285.88,66,0,4.63,AU,1690423672
85,jamestown,42.097,-79.2353,294.92,97,100,5.14,US,1690423511
86,enewetak,11.3474,162.3373,301.68,77,100,6.01,MH,1690423672
87,el soberbio,-27.2985,-54.1988,288.87,95,40,1.31,AR,1690423672
88,sotouboua,8.5667,0.9833,295.21,96,76,1.16,TG,1690423672
89,xining,36.6167,101.7667,288.23,83,100,1.36,CN,1690423673
90,qamdo,31.1667,97.2333,280.56,67,98,2.39,CN,1690423673
91,port alfred,-33.5906,26.891,289.49,82,92,4.77,ZA,1690423673
92,kapuskasing,49.4169,-82.4331,290.59,81,19,0.68,CA,1690423673
93,hasaki,35.7333,140.8333,312.21,73,13,4.79,JP,1690423673
94,peterhead,57.5058,-1.7981,286.37,84,24,6.23,GB,1690423673
95,huarmey,-10.0681,-78.1522,293.37,82,85,4.59,PE,1690423674
96,amga,60.8953,131.9608,295.77,49,100,2.08,RU,1690423674
97,namibe,-15.1961,12.1522,288.58,91,69,3.97,AO,1690423530
98,hassi messaoud,31.6804,6.0729,307.95,12,0,4.57,DZ,1690423674
99,akom ii,2.7833,10.5667,294.49,99,99,0.68,CM,1690423674
100,sao vicente,-23.9631,-46.3919,299.41,26,2,2.13,BR,1690423675
101,porto novo,6.4965,2.6036,297.31,94,98,2.38,BJ,1690423675
102,vineyard,38.4645,-121.3469,308.33,36,0,6.69,US,1690423675
