City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mazamari,-11.3258,-74.5308,299.31,61,71,0.79,PE,1690412316
1,hammerfest,70.6634,23.6821,283.4,87,74,4.63,NO,1690412261
2,hermanus,-34.4187,19.2345,285.43,83,9,3.03,ZA,1690412316
3,iskateley,67.6803,53.1512,287.89,75,49,1.75,RU,1690412316
4,bredasdorp,-34.5322,20.0403,282.46,92,51,2.26,ZA,1690412316
5,port-aux-francais,-49.35,70.2167,277.99,77,78,18.14,TF,1690412190
6,waitangi,-43.9535,-176.5597,282.49,91,95,0.89,NZ,1690412215
7,puerto natales,-51.7236,-72.4875,272.41,92,100,1.75,CL,1690412190
8,kalininskiy,55.7496,49.1386,292.55,82,0,3.0,RU,1690412317
9,coquimbo,-29.9533,-71.3436,287.0,88,75,6.17,CL,1690412317
10,hilo,19.7297,-155.09,302.01,82,0,4.12,US,1690412086
11,dera ghazi khan,30.0561,70.6348,303.56,67,34,2.63,PK,1690412317
12,pangai,-19.8,-174.35,296.21,78,75,3.09,TO,1690412318
13,nemuro,43.3236,145.575,290.54,96,81,0.67,JP,1690412229
14,harstad,68.799,16.5293,285.81,93,38,1.98,NO,1690412318
15,utrik,11.2278,169.8474,301.33,81,100,8.57,MH,1690412318
16,bethel,41.3712,-73.414,302.62,67,20,3.09,US,1690412218
17,stanley,54.868,-1.6985,286.64,94,75,1.54,GB,1690412318
18,iqaluit,63.7506,-68.5145,283.0,71,40,1.54,CA,1690412318
19,xam nua,20.4197,104.0439,293.95,84,74,1.37,LA,1690412318
20,edinburgh of the seven seas,-37.0676,-12.3116,283.55,63,63,10.9,SH,1690412319
21,oum hadjer,13.2954,19.6966,300.87,65,53,6.0,TD,1690412319
22,callao,-12.0667,-77.15,293.55,77,100,4.63,PE,1690412319
23,cabo san lucas,22.8909,-109.9124,307.93,68,72,2.24,MX,1690412134
24,felege neway,6.3,36.8833,291.4,86,92,1.3,ET,1690412319
25,axim,4.8699,-2.2405,297.65,92,91,2.79,GH,1690412319
26,forster,-32.1667,152.5167,285.58,88,1,1.63,AU,1690412319
27,udachny,66.4167,112.4,290.07,72,100,1.13,RU,1690412320
28,envira,-7.3,-70.2167,300.05,54,21,0.82,BR,1690412320
29,westport,41.1415,-73.3579,303.11,69,0,4.92,US,1690412320
30,isafjordur,66.0755,-23.124,280.33,83,79,5.38,IS,1690412320
31,grytviken,-54.2811,-36.5092,273.26,98,100,4.74,GS,1690412197
